"OBJIDsic","Region_new","Region_unique","island","UN_geospat"
1289,"Maryland","USA_Maryland_1289","MAIN","Mid_North_America"
1290,"Maine","USA_Maine_1290","MAIN","Mid_North_America"
1291,"Michigan","USA_Michigan_1291","MAIN","Mid_North_America"
1292,"Minnesota","USA_Minnesota_1292","MAIN","Mid_North_America"
1293,"Missouri","USA_Missouri_1293","MAIN","Mid_North_America"
1294,"Mississippi","USA_Mississippi_1294","MAIN","Mid_North_America"
1295,"Montana","USA_Montana_1295","MAIN","Mid_North_America"
1296,"North_Carolina","USA_North_Carolina_1296","MAIN","Mid_North_America"
1297,"North_Dakota","USA_North_Dakota_1297","MAIN","Mid_North_America"
1298,"Nebraska","USA_Nebraska_1298","MAIN","Mid_North_America"
1299,"New_Hampshire","USA_New_Hampshire_1299","MAIN","Mid_North_America"
1300,"","USA_Navassa_1300","ISL","Central_America_Carib"
1301,"New_Jersey","USA_New_Jersey_1301","MAIN","Mid_North_America"
1302,"New_Mexico","USA_New_Mexico_1302","MAIN","Mid_North_America"
1303,"Nevada","USA_Nevada_1303","MAIN","Mid_North_America"
1304,"New_York","USA_New_York_1304","MAIN","Mid_North_America"
1305,"Ohio","USA_Ohio_1305","MAIN","Mid_North_America"
1306,"Oklahoma","USA_Oklahoma_1306","MAIN","Mid_North_America"
1307,"Oregon","USA_Oregon_1307","MAIN","Mid_North_America"
1308,"Pennsylvania","USA_Pennsylvania_1308","MAIN","Mid_North_America"
1309,"Rhode_Island","USA_Rhode_Island_1309","MAIN","Mid_North_America"
1310,"South_Carolina","USA_South_Carolina_1310","MAIN","Mid_North_America"
1311,"South_Dakota","USA_South_Dakota_1311","MAIN","Mid_North_America"
1312,"Tennessee","USA_Tennessee_1312","MAIN","Mid_North_America"
1313,"Texas","USA_Texas_1313","MAIN","Mid_North_America"
1314,"Utah","USA_Utah_1314","MAIN","Mid_North_America"
1315,"Virginia","USA_Virginia_1315","MAIN","Mid_North_America"
1317,"Vermont","USA_Vermont_1317","MAIN","Mid_North_America"
1318,"Washington","USA_Washington_1318","MAIN","Mid_North_America"
1319,"Wisconsin","USA_Wisconsin_1319","MAIN","Mid_North_America"
1320,"West_Virginia","USA_West_Virginia_1320","MAIN","Mid_North_America"
1321,"Wyoming","USA_Wyoming_1321","MAIN","Mid_North_America"
1322,"","VCT_The_Grenadines_1322","ISL","Central_America_Carib"
1323,"","VCT_Saint_Vincent_1323","ISL","Central_America_Carib"
1324,"Venezuela","VEN_Venezuela_1324","MAIN","South_America"
1325,"","GBR_Anegada_1325","ISL","Central_America_Carib"
1326,"","GBR_Guana_Island_1326","ISL","Central_America_Carib"
1327,"","GBR_Jost_van_Dyke_1327","ISL","Central_America_Carib"
1328,"","GBR_Tortola_1328","ISL","Central_America_Carib"
1329,"","GBR_Virgin_Gorda_1329","ISL","Central_America_Carib"
1330,"","WSM_Fanuatapu_1330","ISL","Micronesia_Polynesia"
1331,"","WSM_Namua_1331","ISL","Micronesia_Polynesia"
1332,"","WSM_Nuulua_1332","ISL","Micronesia_Polynesia"
1333,"","WSM_Nuutele_1333","ISL","Micronesia_Polynesia"
1334,"Yemen","YEM_Yemen_1334","MAIN","Western_Asia"
1335,"Eastern_Cape","ZAF_Eastern_Cape_1335","MAIN","Mid_South_Africa"
1336,"Free_State","ZAF_Free_State_1336","MAIN","Mid_South_Africa"
1337,"Gauteng","ZAF_Gauteng_1337","MAIN","Mid_South_Africa"
1338,"KwaZulu_Natal","ZAF_KwaZulu_Natal_1338","MAIN","Mid_South_Africa"
1339,"Limpopo","ZAF_Limpopo_1339","MAIN","Mid_South_Africa"
1340,"","ZAF_Marion_Island_1340","ISL","Mid_South_Africa"
1341,"Mpumalanga","ZAF_Mpumalanga_1341","MAIN","Mid_South_Africa"
1342,"Northern_Cape","ZAF_Northern_Cape_1342","MAIN","Mid_South_Africa"
1343,"North_West","ZAF_North_West_1343","MAIN","Mid_South_Africa"
1344,"","ZAF_Prince_Edward_Island_Group_1344","ISL","Mid_South_Africa"
1345,"Western_Cape","ZAF_Western_Cape_1345","MAIN","Mid_South_Africa"
1346,"Central","ZMB_Central_1346","MAIN","East_Africa"
1347,"Copperbelt","ZMB_Copperbelt_1347","MAIN","East_Africa"
1348,"Eastern","ZMB_Eastern_1348","MAIN","East_Africa"
1349,"Luapula","ZMB_Luapula_1349","MAIN","East_Africa"
1350,"Lusaka","ZMB_Lusaka_1350","MAIN","East_Africa"
1351,"Northern","ZMB_Northern_1351","MAIN","East_Africa"
1352,"North_Western","ZMB_North_Western_1352","MAIN","East_Africa"
1353,"Southern","ZMB_Southern_1353","MAIN","East_Africa"
1354,"Western","ZMB_Western_1354","MAIN","East_Africa"
1355,"Central_region","ZWE_Central_region_1355","MAIN","East_Africa"
1356,"Eastern_region","ZWE_Eastern_region_1356","MAIN","East_Africa"
1357,"Northern_region","ZWE_Northern_region_1357","MAIN","East_Africa"
1358,"Southern_region","ZWE_Southern_region_1358","MAIN","East_Africa"
1359,"Western_region","ZWE_Western_region_1359","MAIN","East_Africa"
1360,"Spain_mainland","ESP_Spain_mainland_1360","MAIN","Europe"
1361,"Portugal_mainland","PRT_Portugal_mainland_1361","MAIN","Europe"
1362,"France_mainland","FRA_France_mainland_1362","MAIN","Europe"
1389,"Mayotte","FRA.MAY_Mayotte_1389","ISL","East_Africa"
1393,"Guadeloupe","GLP_Guadeloupe_1393","ISL","Central_America_Carib"
1400,"Maldives","MDV_Maldives_1400","ISL","Southern_Asia"
