"OBJIDsic","name","LON","LAT","island","area","dem.sd","temp.mean","aridity.mean","pop.dens.2010.mean","gdp.pc.2011.mean","crop.area.prop","time.emp.GB","time.emp.ESP","time.emp.PRT","time.emp.NL"
864,"GNB_South",-15.21266238,11.45452732,0,7059.02,14.23,27.1,1.04,26.6,1410.54,0.1,0,0,94,0
865,"Greece",22.88660605,39.11847123,0,125798.6,432.78,13.6,0.49,91.44,23037.36,0.22,0,0,0,0
866,"Grenada",-61.68377607,12.11374768,1,318.57,162.98,26,0.97,306.7,11221.36,0,208,0,0,0
868,"French Guiana",-53.24568161,3.92862091,0,83921.42,74.3,25.5,1.69,2.96,5668.15,0,152,0,13,18
869,"Guam",144.77703828,13.44353661,1,552.71,55.17,27.4,1.26,290.04,41376,0,0,300,0,0
870,"Guyana",-58.9814437,4.77707849,0,210823.89,222.56,25.9,1.22,2.54,6312.67,0.02,152,0,0,235
873,"Croatia",16.41177999,45.05116284,0,55889.14,287.68,11,0.94,76.68,17189.95,0.29,0,0,0,0
874,"Gonave",-73.0463619,18.84289916,1,690.21,172.67,25.6,0.6,123.78,1562.3,0.31,0,0,0,0
875,"Tortuga Island, Haiti",-72.78912425,20.04492262,1,183.44,80.05,25.5,0.78,195.54,1562.3,0.08,0,0,0,0
876,"Hungary",19.4255648,47.16774391,0,92332.15,81.36,10.2,0.55,110.46,16512.19,0.51,0,0,0,0
879,"Andaman and Nicobar",92.96875723,11.15131723,1,7264.05,63.83,26.9,1.72,42.32,8660.6,0,230,0,0,0
880,"Andhra Pradesh",79.58387118,16.605485,0,276704.57,218.83,27.3,0.42,319.93,5608.74,0.56,0,0,12,175
881,"Arunachal Pradesh",94.66280962,28.0329331,0,82306.97,1253.12,13.7,1.32,19.8,4829.05,0.04,33,0,0,0
882,"Assam",92.83112196,26.34300831,0,79414.07,199.24,23.7,1.58,407.23,2850.21,0.44,122,0,0,0
883,"Bihar",85.59508524,25.6318339,0,97938.51,74,25.3,0.64,1112.13,1957.53,0.73,182,0,0,0
884,"Chandigarh",76.77180662,30.72600505,0,135.31,18.74,23.6,0.56,5203.02,10258.36,0.33,98,0,0,0
885,"Chhattisgarh",82.07289788,21.21922037,0,140685.39,182.72,25.6,0.68,191.52,3186.93,0.35,94,0,0,0
886,"Delhi",77.09834832,28.63905449,0,1279.13,17.7,25,0.34,8976.66,11907.31,0.21,144,0,0,0
887,"Goa",74.0801635,15.35804264,0,4211.69,218.97,26.1,1.74,387.24,15402.04,0.38,0,0,451,0
888,"Gujarat",71.55557968,22.70424999,0,185903.67,92.81,27,0.3,324.04,6907.35,0.6,338,0,426,190
889,"Haryana",76.32412737,29.19227362,0,44238.72,50.07,24.5,0.29,588.34,8183.44,0.86,98,0,0,0
890,"Himachal Pradesh",77.25175558,31.91168469,0,55336.48,1716.55,7,0.76,129.34,6369.95,0.14,98,0,0,0
891,"Jammu and Kashmir",76.62426867,33.75325158,0,106487.87,1563,0.4,0.39,121.79,3635.38,0.09,101,0,0,0
892,"Jharkhand",85.58854042,23.61929154,0,75985.04,189.4,25.2,0.67,428.63,2003.06,0.53,182,0,0,0
893,"Karnataka",76.18477095,14.68680579,0,190415.96,203.54,25.1,0.66,324.87,5390.54,0.66,155,0,195,0
894,"Kerala",76.40430792,10.46811544,0,38812.79,433.81,25.4,1.61,895.29,6626.97,0.56,152,0,163,134
895,"Lakshadweep",72.90196975,9.4468446,1,38.09,2.3,27.3,0.91,1872.29,3477,0,148,0,0,0
