OBJIDsic,Region_new,Region_unique,MainIsl,colonizer,from,to,UN_geospat
559,,AUS_Murray_Island_559,ISL,Great_Britain,1830,1904,Oceania
560,,AUS_Newman_Island_560,ISL,Great_Britain,1830,1904,Oceania
562,Central_Coast,AUS_Central_Coast_562,MAIN,Great_Britain,1788,1904,Oceania
563,Central_Tablelands,AUS_Central_Tablelands_563,MAIN,Great_Britain,1788,1904,Oceania
564,,AUS_Lord_Howe_Island_564,ISL,Great_Britain,1833,1901,Oceania
565,North_Coast,AUS_North_Coast_565,MAIN,Great_Britain,1788,1904,Oceania
566,North_Far_Western_Plains,AUS_North_Far_Western_Plains_566,MAIN,Great_Britain,1788,1904,Oceania
567,Northern_Tablelands,AUS_Northern_Tablelands_567,MAIN,Great_Britain,1788,1904,Oceania
568,North_Western_Plains,AUS_North_Western_Plains_568,MAIN,Great_Britain,1788,1904,Oceania
569,North_Western_Slopes,AUS_North_Western_Slopes_569,MAIN,Great_Britain,1788,1904,Oceania
570,South_Coast,AUS_South_Coast_570,MAIN,Great_Britain,1820,1904,Oceania
571,South_Far_Western_Plains,AUS_South_Far_Western_Plains_571,MAIN,Great_Britain,1839,1904,Oceania
572,Southern_Tablelands,AUS_Southern_Tablelands_572,MAIN,Great_Britain,1820,1904,Oceania
573,South_Western_Plains,AUS_South_Western_Plains_573,MAIN,Great_Britain,1788,1904,Oceania
574,South_Western_Slopes,AUS_South_Western_Slopes_574,MAIN,Great_Britain,1788,1904,Oceania
575,Northern_Territory,AUS_Northern_Territory_575,MAIN,Great_Britain,1834,1904,Oceania
576,,AUS_Pelsaert_Island_576,ISL,Great_Britain,1830,1904,Oceania
577,,AUS_Pigeon_Island_577,ISL,Great_Britain,1830,1904,Oceania
578,Burke,AUS_Burke_578,MAIN,Great_Britain,1825,1904,Oceania
579,Burnett,AUS_Burnett_579,MAIN,Great_Britain,1825,1904,Oceania
580,Cook,AUS_Cook_580,MAIN,Great_Britain,1825,1904,Oceania
581,Darling_Downs,AUS_Darling_Downs_581,MAIN,Great_Britain,1836,1904,Oceania
582,Gregory_North,AUS_Gregory_North_582,MAIN,Great_Britain,1825,1904,Oceania
583,Gregory_South,AUS_Gregory_South_583,MAIN,Great_Britain,1825,1904,Oceania
584,Leichhardt,AUS_Leichhardt_584,MAIN,Great_Britain,1850,1904,Oceania
585,Maranoa,AUS_Maranoa_585,MAIN,Great_Britain,1848,1904,Oceania
586,Mitchell,AUS_Mitchell_586,MAIN,Great_Britain,1887,1904,Oceania
587,Moreton,AUS_Moreton_587,MAIN,Great_Britain,1824,1904,Oceania
588,Kennedy_North,AUS_Kennedy_North_588,MAIN,Great_Britain,1825,1904,Oceania
589,Port_Curtis,AUS_Port_Curtis_589,MAIN,Great_Britain,1823,1904,Oceania
590,Kennedy_South,AUS_Kennedy_South_590,MAIN,Great_Britain,1825,1904,Oceania
591,Warrego,AUS_Warrego_591,MAIN,Great_Britain,1825,1904,Oceania
592,Wide_Bay,AUS_Wide_Bay_592,MAIN,Great_Britain,1847,1904,Oceania
593,,AUS_Rat_Island_593,ISL,Great_Britain,1830,1904,Oceania
594,SA_EA,AUS_SA_EA_594,MAIN,Great_Britain,1836,1904,Oceania
595,Eyre_Peninsula,AUS_Eyre_Peninsula_595,MAIN,Great_Britain,1839,1904,Oceania
596,Flinders_Ranges,AUS_Flinders_Ranges_596,MAIN,Great_Britain,1845,1904,Oceania
597,Gairdner_Torrens_Basin,AUS_Gairdner_Torrens_Basin_597,MAIN,Great_Britain,1836,1904,Oceania
598,,AUS_Kangaroo_Island_598,ISL,Great_Britain,1836,1904,Oceania
599,Eyre_Basin,AUS_Eyre_Basin_599,MAIN,Great_Britain,1836,1904,Oceania
600,Murray_Basin,AUS_Murray_Basin_600,MAIN,Great_Britain,1840,1904,Oceania
601,Lofty_North,AUS_Lofty_North_601,MAIN,Great_Britain,1836,1904,Oceania
603,North_West,AUS_North_West_603,MAIN,Great_Britain,1836,1904,Oceania
604,South_East,AUS_South_East_604,MAIN,Great_Britain,1860,1904,Oceania
605,Lofty_South,AUS_Lofty_South_605,MAIN,Great_Britain,1836,1904,Oceania
606,Yorke_Peninsula,AUS_Yorke_Peninsula_606,MAIN,Great_Britain,1840,1904,Oceania
607,,AUS_Serventy_Island_607,ISL,Great_Britain,1830,1904,Oceania
608,,AUS_Seagull_Island_608,ISL,Great_Britain,1830,1904,Oceania
609,,AUS_Suomi_Island_609,ISL,Great_Britain,1830,1904,Oceania
610,,AUS_Tasmania_610,ISL,Great_Britain,1803,1904,Oceania
611,,AUS_Macquarie_Island_611,ISL,Great_Britain,1810,1901,Oceania
612,,AUS_Uncle_Margie_Island_612,ISL,Great_Britain,1830,1904,Oceania
613,Avon_Wheatbelt,AUS_Avon_Wheatbelt_613,MAIN,Great_Britain,1830,1904,Oceania
614,Carnarvon,AUS_Carnarvon_614,MAIN,Great_Britain,1883,1904,Oceania
615,Central_Kimberley,AUS_Central_Kimberley_615,MAIN,Great_Britain,1879,1904,Oceania
616,Coolgardie,AUS_Coolgardie_616,MAIN,Great_Britain,1892,1904,Oceania
617,Central_Ranges,AUS_Central_Ranges_617,MAIN,Great_Britain,1830,1904,Oceania
618,Dampierland,AUS_Dampierland_618,MAIN,Great_Britain,1879,1904,Oceania
619,Esperance_Plains,AUS_Esperance_Plains_619,MAIN,Great_Britain,1830,1904,Oceania
620,Gascoyne,AUS_Gascoyne_620,MAIN,Great_Britain,1830,1904,Oceania
622,Gread_Sandy_Desert,AUS_Gread_Sandy_Desert_622,MAIN,Great_Britain,1830,1904,Oceania
623,Geraldton_Sandplains,AUS_Geraldton_Sandplains_623,MAIN,Great_Britain,1830,1904,Oceania
624,Great_Victoria_Desert,AUS_Great_Victoria_Desert_624,MAIN,Great_Britain,1830,1904,Oceania
625,Hampton,AUS_Hampton_625,MAIN,Great_Britain,1876,1904,Oceania
626,Jarrah_Forest,AUS_Jarrah_Forest_626,MAIN,Great_Britain,1826,1904,Oceania
628,Mallee,AUS_Mallee_628,MAIN,Great_Britain,1849,1904,Oceania
629,Murchison,AUS_Murchison_629,MAIN,Great_Britain,1864,1904,Oceania
